Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.17,0.67,1.00,0.83,0.00,0.50,1.00,0.50,0.33
2,Scroll Down,0.12,0.56,1.00,0.75,0.25,0.38,0.75,0.25,0.43
3,Flip Horizontal,0.17,0.00,0.67,0.33,0.00,0.50,1.00,0.00,0.83
4,Flip Vertical,0.53,0.23,0.58,0.12,0.40,0.88,0.92,0.00,0.69
5,Rotate Clockwise,0.69,0.15,0.83,0.35,0.56,0.67,0.62,0.00,0.46
6,Rotate Anti_clockwise,0.67,0.17,1.00,0.50,0.83,0.83,1.00,0.00,0.33
7,Zoom In,0.00,0.75,1.00,0.25,0.75,0.67,0.25,0.25,0.67
8,Zoom Out,0.86,0.57,0.00,0.86,1.00,0.71,0.14,0.43,0.29
9,Switch_panel Left,0.40,0.40,1.00,0.00,0.60,0.20,0.80,0.60,0.60
10,Switch_panel Right,0.57,0.71,1.00,0.14,0.00,0.29,0.86,0.00,0.43
11,Switch_panel Up,0.31,0.63,1.00,0.07,0.53,0.17,0.52,0.53,0.69
12,Switch_panel Down,0.00,1.00,0.88,0.25,0.38,0.12,0.75,0.50,0.62
13,Pan Left,0.86,0.14,0.71,1.00,0.29,0.00,0.43,0.00,0.57
14,Pan Right,0.20,0.25,0.53,0.65,0.73,0.46,0.75,0.21,0.68
15,Pan Up,0.50,0.00,1.00,0.12,0.75,0.38,0.88,0.25,0.62
16,Pan Down,0.43,0.29,0.71,1.00,0.57,0.00,0.14,0.00,0.86
17,Measure with Ruler,0.25,1.00,0.75,0.00,0.25,0.25,0.25,0.25,0.50
18,Delete Ruler,0.18,0.62,1.00,0.69,0.19,0.31,0.88,0.25,0.38
19,PIW Open,0.00,0.17,1.00,0.50,0.83,0.00,0.33,0.33,0.67
20,PIW Close,0.00,0.27,1.00,0.55,0.85,0.32,0.58,0.58,0.93
21,Manual_contrast Increase,0.33,1.00,0.67,0.67,0.17,0.67,0.50,0.00,0.83
22,Manual_contrast Decrease,0.00,0.85,0.77,0.53,0.23,0.38,0.16,0.23,0.92
23,Layout One_panel,0.38,0.92,0.48,0.65,0.00,0.07,0.93,0.44,0.53
24,Layout Two_panels,0.29,1.00,0.43,0.43,0.57,0.00,0.86,0.14,0.71
25,Layout Three_panels,0.50,1.00,0.38,0.62,0.75,0.00,0.25,0.12,0.88
26,Layout Four_panels,0.16,1.00,0.10,0.47,0.84,0.25,0.49,0.12,0.51
27,Contrast_presets Stanadard_1,0.00,0.81,0.81,1.00,0.12,0.25,0.62,0.44,0.44
28,Contrast_presets Stanadard_2,0.00,0.47,0.88,0.94,0.56,0.21,0.75,0.53,0.67
