Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.80,0.80,0.00,0.00,1.00,0.00,0.40,0.20,0.60
2,Scroll Down,0.75,0.32,0.00,0.31,0.75,0.75,0.32,0.94,0.37
3,Flip Horizontal,0.60,0.80,0.00,0.60,0.80,0.20,0.20,1.00,0.40
4,Flip Vertical,0.55,0.78,0.49,0.94,0.71,0.16,0.00,1.00,0.33
5,Rotate Clockwise,0.12,0.75,0.38,0.06,0.32,0.43,0.81,1.00,0.62
6,Rotate Anti_clockwise,0.33,0.67,0.33,0.00,0.00,0.00,0.33,1.00,0.67
7,Zoom In,0.83,0.14,0.45,0.83,0.07,0.00,0.85,0.77,0.21
8,Zoom Out,0.75,0.00,0.25,1.00,0.00,0.00,0.50,1.00,0.00
9,Switch_panel Left,0.17,1.00,0.00,1.00,0.67,0.50,0.33,0.83,0.67
10,Switch_panel Right,0.33,1.00,0.83,1.00,0.50,0.17,0.00,0.50,0.67
11,Switch_panel Up,0.21,0.88,0.00,1.00,0.50,0.72,0.19,0.78,0.23
12,Switch_panel Down,0.50,0.00,0.33,0.00,0.67,0.17,0.83,1.00,0.50
13,Pan Left,0.50,0.50,0.25,1.00,0.75,0.50,0.50,0.75,0.00
14,Pan Right,0.81,0.53,0.06,0.17,0.88,0.94,0.25,1.00,0.12
15,Pan Up,0.50,0.88,0.00,1.00,0.25,0.62,0.12,0.75,0.38
16,Pan Down,0.86,1.00,0.00,0.43,0.71,0.57,0.29,0.57,0.14
17,Measure with Ruler,0.33,0.00,0.33,1.00,0.67,0.67,0.67,0.67,0.33
18,Delete Ruler,0.13,0.59,0.41,0.19,0.93,0.07,0.94,0.40,0.67
19,PIW Open,1.00,0.86,0.14,0.43,0.29,1.00,0.57,0.71,0.00
20,PIW Close,1.00,0.84,0.23,0.71,0.00,0.49,0.45,0.57,0.06
21,Manual_contrast Increase,1.00,0.00,0.17,0.50,0.33,0.50,0.33,0.67,0.83
22,Manual_contrast Decrease,0.45,0.07,0.55,0.40,0.69,0.73,0.44,0.34,0.71
23,Layout One_panel,0.66,0.00,0.44,0.39,0.83,1.00,0.37,0.55,0.32
24,Layout Two_panels,0.57,0.00,0.43,0.43,0.86,1.00,0.14,0.71,0.29
25,Layout Three_panels,0.38,0.00,0.25,0.75,0.12,1.00,0.50,0.88,0.62
26,Layout Four_panels,0.64,0.00,0.51,0.26,0.23,0.88,0.65,0.80,0.39
27,Contrast_presets Stanadard_1,1.00,0.07,0.12,0.06,0.59,0.87,0.33,0.46,0.73
28,Contrast_presets Stanadard_2,1.00,0.16,0.12,0.00,0.71,0.94,0.49,0.78,0.45
