Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.00,0.29,1.00,0.86,0.14,0.57,0.43,0.00,0.71
2,Scroll Down,0.63,0.38,1.00,0.81,0.31,0.25,0.56,0.12,0.43
3,Flip Horizontal,0.67,0.83,0.33,0.17,0.83,0.50,1.00,1.00,0.00
4,Flip Vertical,0.25,0.19,0.54,0.06,0.81,0.78,0.80,0.00,0.33
5,Rotate Clockwise,0.81,0.06,1.00,0.12,0.69,0.56,0.88,0.12,0.50
6,Rotate Anti_clockwise,0.67,0.00,1.00,0.00,0.50,0.33,0.83,0.00,0.17
7,Zoom In,0.09,0.77,1.00,0.30,0.77,0.53,0.07,0.23,0.45
8,Zoom Out,0.14,0.57,1.00,0.43,0.86,0.29,0.00,0.43,0.71
9,Switch_panel Left,0.57,0.71,1.00,0.43,0.14,0.00,0.86,0.14,0.29
10,Switch_panel Right,0.38,0.50,0.75,1.00,0.88,0.00,0.62,0.12,0.25
11,Switch_panel Up,0.32,0.73,1.00,0.45,0.21,0.19,0.87,0.34,0.41
12,Switch_panel Down,0.50,1.00,0.75,0.62,0.25,0.12,0.88,0.00,0.38
13,Pan Left,0.38,0.88,0.25,1.00,0.62,0.00,0.75,0.12,0.50
14,Pan Right,0.20,0.55,0.54,1.00,0.58,0.00,0.45,0.53,0.53
15,Pan Up,0.62,0.75,1.00,0.00,0.88,0.25,0.50,0.12,0.38
16,Pan Down,0.86,0.71,0.57,1.00,0.29,0.00,0.14,0.00,0.43
17,Measure with Ruler,0.40,0.80,1.00,0.00,0.60,0.20,0.20,0.60,0.60
18,Delete Ruler,0.12,0.62,0.44,0.12,0.88,0.37,0.25,0.69,1.00
19,PIW Open,0.88,0.00,1.00,0.50,0.62,0.12,0.25,0.38,0.75
20,PIW Close,0.45,0.46,0.93,0.92,0.69,0.00,0.23,0.32,0.85
21,Manual_contrast Increase,0.25,0.88,0.38,0.50,0.62,0.75,0.12,0.00,1.00
22,Manual_contrast Decrease,0.17,0.71,0.92,0.56,0.23,0.50,0.12,0.28,0.94
23,Layout One_panel,0.72,0.71,0.29,0.50,0.15,0.00,1.00,0.78,0.35
24,Layout Two_panels,0.25,1.00,0.50,0.38,0.62,0.00,0.88,0.12,0.75
25,Layout Three_panels,0.57,1.00,0.29,0.29,0.86,0.00,0.71,0.43,0.14
26,Layout Four_panels,0.00,1.00,0.13,0.20,0.80,0.33,0.53,0.79,0.53
27,Contrast_presets Stanadard_1,0.07,0.69,0.80,0.79,0.50,0.20,0.74,0.46,0.41
28,Contrast_presets Stanadard_2,0.00,0.71,0.79,0.80,0.13,0.12,0.53,0.33,0.81
