Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.80,1.00,0.00,0.00,0.20,0.60,0.40,0.40,0.00
2,Scroll Down,0.69,0.25,0.06,0.25,0.69,0.81,0.31,0.88,0.56
3,Flip Horizontal,0.60,0.00,0.80,1.00,0.00,0.40,0.20,0.20,1.00
4,Flip Vertical,0.56,0.94,0.25,0.37,0.69,0.31,0.25,0.50,0.62
5,Rotate Clockwise,0.27,0.93,0.00,0.60,0.33,0.81,0.13,0.66,0.66
6,Rotate Anti_clockwise,0.33,1.00,0.00,0.67,0.33,0.83,0.17,1.00,0.50
7,Zoom In,0.92,0.29,0.00,0.92,0.46,0.65,0.60,0.83,0.65
8,Zoom Out,1.00,0.00,0.00,1.00,0.40,0.80,0.60,1.00,0.20
9,Switch_panel Left,0.50,0.50,0.00,0.75,1.00,1.00,0.25,1.00,1.00
10,Switch_panel Right,0.25,0.38,0.00,0.62,1.00,0.88,0.12,0.75,0.50
11,Switch_panel Up,0.50,0.32,0.00,0.56,0.81,0.94,0.12,0.75,0.50
12,Switch_panel Down,0.00,0.29,0.43,0.14,1.00,0.86,0.71,1.00,0.57
13,Pan Left,0.29,0.14,0.57,0.00,0.86,1.00,0.71,1.00,0.43
14,Pan Right,0.60,0.19,0.38,0.14,0.28,0.87,0.41,1.00,0.66
15,Pan Up,0.62,0.50,0.00,0.88,0.12,1.00,0.75,0.38,0.25
16,Pan Down,0.71,0.43,0.00,0.14,0.57,1.00,0.86,1.00,0.29
17,Measure with Ruler,0.50,0.00,0.25,1.00,0.50,0.75,0.75,0.75,0.25
18,Delete Ruler,1.00,0.25,0.12,0.62,0.32,0.75,0.69,0.50,0.25
19,PIW Open,1.00,0.83,0.00,0.50,0.33,1.00,0.67,0.67,0.17
20,PIW Close,0.90,0.30,0.17,0.27,0.45,0.92,0.64,0.39,0.54
21,Manual_contrast Increase,1.00,0.67,0.50,0.17,0.83,0.33,0.83,0.83,0.00
22,Manual_contrast Decrease,0.58,0.50,0.32,0.45,0.43,0.63,0.44,0.43,0.48
23,Layout One_panel,0.53,0.00,0.65,0.42,0.92,0.94,0.29,0.15,0.62
24,Layout Two_panels,0.29,0.00,0.57,0.57,0.71,1.00,0.14,0.86,0.43
25,Layout Three_panels,0.43,0.00,0.29,0.29,0.14,1.00,0.57,0.71,0.86
26,Layout Four_panels,0.81,0.00,0.88,0.75,0.18,0.56,0.88,0.56,0.50
27,Contrast_presets Stanadard_1,0.94,0.28,0.19,0.12,0.85,0.80,0.13,0.45,0.46
28,Contrast_presets Stanadard_2,1.00,0.28,0.25,0.20,0.74,0.79,0.33,0.66,0.00
