Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.17,1.00,0.83,0.33,0.00,0.50,0.67,0.50,0.67
2,Scroll Down,0.12,0.37,0.50,0.69,0.32,0.69,0.37,0.62,0.81
3,Flip Horizontal,0.12,0.00,0.75,0.88,0.50,1.00,0.38,0.62,0.25
4,Flip Vertical,0.53,0.85,0.68,0.06,0.88,0.47,0.07,0.20,0.58
5,Rotate Clockwise,0.56,0.31,0.75,0.00,0.56,0.88,0.62,0.62,0.69
6,Rotate Anti_clockwise,1.00,1.00,0.33,0.67,1.00,1.00,0.00,1.00,1.00
7,Zoom In,0.51,0.80,0.06,0.64,0.69,0.68,0.10,0.45,0.53
8,Zoom Out,0.33,0.50,0.00,0.33,1.00,1.00,0.17,0.67,0.83
9,Switch_panel Left,0.62,0.25,0.12,0.50,0.88,0.00,0.75,0.38,1.00
10,Switch_panel Right,0.25,1.00,0.00,0.75,0.88,0.12,0.38,0.50,0.62
11,Switch_panel Up,0.54,0.59,0.44,0.20,0.81,0.28,0.57,0.68,0.62
12,Switch_panel Down,0.17,0.00,0.50,0.67,0.33,0.17,1.00,0.33,0.83
13,Pan Left,0.12,0.38,0.75,0.00,1.00,0.88,0.25,0.50,0.62
14,Pan Right,0.21,0.34,0.54,1.00,0.87,0.38,0.27,0.38,0.25
15,Pan Up,0.25,0.88,0.38,0.12,0.00,0.75,0.50,0.62,1.00
16,Pan Down,0.17,0.50,1.00,0.00,0.33,0.83,1.00,0.83,0.67
17,Measure with Ruler,0.40,0.00,0.80,0.20,1.00,0.60,0.60,0.80,0.20
18,Delete Ruler,0.56,0.56,0.25,0.37,1.00,0.50,0.31,0.56,0.38
19,PIW Open,0.71,0.29,0.00,0.29,0.14,1.00,0.57,0.86,0.43
20,PIW Close,0.90,0.62,0.16,0.39,0.00,0.94,0.65,0.68,0.41
21,Manual_contrast Increase,0.57,0.00,0.43,0.86,0.29,1.00,0.71,0.14,0.86
22,Manual_contrast Decrease,0.07,0.43,0.57,0.35,0.21,0.65,0.65,0.50,0.85
23,Layout One_panel,0.38,0.00,0.84,0.83,0.23,0.85,0.62,0.07,0.53
24,Layout Two_panels,0.38,0.00,1.00,0.88,0.12,0.25,0.50,0.75,0.62
25,Layout Three_panels,0.83,0.00,1.00,1.00,0.33,0.67,0.50,0.17,0.50
26,Layout Four_panels,0.80,0.12,0.94,0.85,0.31,0.33,0.53,0.21,0.13
27,Contrast_presets Stanadard_1,0.44,0.75,0.56,0.50,0.37,0.50,0.25,0.50,0.62
28,Contrast_presets Stanadard_2,0.41,0.66,0.25,0.58,0.07,1.00,0.62,0.34,0.45
