Count,Command Name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,Scroll Up,0.60,1.00,0.60,0.40,0.40,0.20,0.00,0.40,0.80
2,Scroll Down,0.43,0.25,0.12,0.63,0.62,0.81,0.38,0.75,0.50
3,Flip Horizontal,0.43,0.14,0.71,0.86,0.14,0.57,0.00,0.29,1.00
4,Flip Vertical,0.71,1.00,0.62,0.17,0.85,0.56,0.25,0.23,0.28
5,Rotate Clockwise,0.81,0.25,0.06,0.19,0.75,0.62,0.25,0.94,0.12
6,Rotate Anti_clockwise,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00
7,Zoom In,0.57,0.69,0.00,0.57,0.34,0.73,0.32,0.85,0.80
8,Zoom Out,1.00,0.40,0.00,1.00,0.80,0.60,0.20,1.00,0.40
9,Switch_panel Left,1.00,1.00,0.75,1.00,0.75,0.00,0.50,0.25,0.75
10,Switch_panel Right,0.62,0.50,0.12,0.38,0.25,0.88,0.00,1.00,0.75
11,Switch_panel Up,0.74,0.65,0.07,0.72,0.69,0.59,0.25,0.41,0.62
12,Switch_panel Down,0.50,0.00,0.33,0.17,0.67,0.00,1.00,0.83,0.83
13,Pan Left,0.29,0.00,0.57,0.14,0.86,1.00,0.43,1.00,0.71
14,Pan Right,0.20,0.35,0.49,0.12,0.74,0.81,0.46,1.00,0.88
15,Pan Up,0.00,0.00,0.43,0.14,0.29,0.86,0.57,0.71,1.00
16,Pan Down,0.20,0.40,0.60,0.00,0.60,1.00,0.80,1.00,1.00
17,Measure with Ruler,0.40,0.20,0.80,1.00,0.80,0.40,0.00,0.60,0.40
18,Delete Ruler,0.21,0.50,0.00,0.40,0.94,0.35,0.15,0.92,0.71
19,PIW Open,0.86,0.29,1.00,0.14,0.00,0.86,0.43,0.57,0.71
20,PIW Close,1.00,0.38,0.07,0.27,0.12,0.85,0.78,0.93,0.46
21,Manual_contrast Increase,0.83,0.17,0.17,0.67,0.00,1.00,0.33,0.33,0.50
22,Manual_contrast Decrease,0.35,0.66,0.06,0.52,0.68,0.41,1.00,0.62,0.38
23,Layout One_panel,0.59,0.00,0.80,0.46,0.85,0.69,0.20,0.51,0.34
24,Layout Two_panels,0.57,0.00,0.71,0.71,0.14,0.86,0.29,1.00,0.43
25,Layout Three_panels,0.57,0.00,0.71,0.71,0.14,1.00,0.43,0.29,0.86
26,Layout Four_panels,0.56,0.50,0.62,0.18,0.50,0.19,0.38,0.31,0.62
27,Contrast_presets Stanadard_1,0.25,0.50,0.81,0.69,0.67,0.38,0.47,0.78,0.46
28,Contrast_presets Stanadard_2,0.58,0.41,0.29,0.31,0.60,0.88,0.19,0.56,0.58
